"dates","title","ressort"
2022-09-16,"Schwarz-Rot-Kalt","Politik"
2022-09-15,"Berlin präsentiert Übergangslösung für 9-Euro-Ticket","Mobilität"
2022-09-15,"»Wir haben im Nahverkehr gerade ganz andere Sorgen«","Mobilität"
2022-09-14,"»Das ist mein Land, du bist hier Gast«","Panorama"
2022-09-14,"Fahrgästen in München droht Preisschub um fast sieben Prozent","Mobilität"
2022-09-14,"Fast zwei Drittel empfinden Gaskosten als »schwere Belastung«","Wirtschaft"
2022-09-11,"Bayern soll Kostenexplosion bei Münchner S-Bahn verschwiegen haben","Wirtschaft"
2022-09-11,"Wie schlimm wird die deutsche Rezession?","Wirtschaft"
2022-09-09,"Wüst verlangt drei weitere Milliarden Euro für den Nahverkehr","Politik"
2022-09-08,"»Operation London Bridge« – ist eine Welt ohne die Queen denkbar?","Politik"
2022-09-08,"Bundestag beschließt Coronaregeln für den Herbst","Politik"
2022-09-08,"Mann erschießt vier Menschen und überträgt Taten teilweise auf Facebook","Panorama"
2022-09-08,"Supermarktkette bietet 30 Produkte für 30 Euro an","Wirtschaft"
2022-09-07,"Was bringen Masken jetzt noch?","Gesundheit"
2022-09-06,"»Schlicht zu kurz gegriffen«","Politik"
2022-09-05,"49, 59 oder 69 Euro – was bringt das teure Billigticket?","Mobilität"
2022-09-05,"Himmel, es ist doch nur eine Maske","Politik"
2022-09-05,"Kühnert drängt auf »zackige« Einführung der Strompreisbremse","Politik"
2022-09-04,"65 Milliarden Euro über Nacht","Politik"
2022-09-04,"So sollen die Bürger konkret entlastet werden","Politik"
2022-09-04,"Ampelkoalition einig über drittes Entlastungspaket","Politik"
2022-09-03,"Ein Busticket soll in England vorübergehend maximal zwei Pfund kosten","Wirtschaft"
2022-09-03,"Worum es bei der Sitzung des Koalitionsausschusses geht","Politik"
2022-09-02,"Was die SPD jetzt vom Kanzler erwartet","Politik"
2022-09-02,"»Dass das Ticket jetzt ausgelaufen ist, erleichtert mich«","Mobilität"
2022-09-01,"Forscher empfehlen Heizkostenzuschuss statt Gaspreisdeckel","Wirtschaft"
2022-09-01,"In der FDP fallen die Masken","Politik"
2022-08-31,"Erlaubt Putin ein Staatsbegräbnis für Gorbatschow?","Politik"
2022-08-31,"Ein flammender Appell für das 9-Euro-Ticket","Netzwelt"
2022-08-31,"Prominente Deutsche fordern Fortsetzung des 9-Euro-Tickets","Wirtschaft"
2022-08-30,"Einmal Freiheit und zurück","Mobilität"
2022-08-30,"Städte warnen vor Finanznot der Stadtwerke","Wirtschaft"
2022-08-30,"»Den Wunsch nach Kontrollverlust habe ich häufiger verspürt«","Politik"
2022-08-30,"Für immer Kinderzimmer","Familie"
2022-08-29,"Das bringt der September","Wirtschaft"
2022-08-29,"»Immer werden irgendwelche tollen Programme aufgelegt«","Politik"
2022-08-29,"9-Euro-Ticket spart fast zwei Millionen Tonnen CO₂ ein","Mobilität"
2022-08-29,"Warum können die’s – und wir nicht?","Wirtschaft"
