"dates","title","ressort"
2022-09-15,"Der Trend geht zum Drittwagen","Mobilität"
2022-09-15,"»Wir haben im Nahverkehr gerade ganz andere Sorgen«","Mobilität"
2022-09-14,"Wie Wien und Zürich die Autos aus der Stadt verdrängen","Mobilität"
2022-09-09,"Wüst verlangt drei weitere Milliarden Euro für den Nahverkehr","Politik"
2022-09-08,"Bundestag beschließt Coronaregeln für den Herbst","Politik"
2022-09-05,"49, 59 oder 69 Euro – was bringt das teure Billigticket?","Mobilität"
2022-09-05,"Wie teuer soll der Nachfolger für das 9-Euro-Ticket werden?","Wirtschaft"
2022-09-04,"Nackt ist eh doof","Kultur"
2022-09-03,"Warum der Abschied von der E-Klasse als Taxi so weh tut","Mobilität"
2022-09-03,"Nachfolge für 9-Euro-Ticket soll Anfang 2023 kommen","Politik"
2022-09-02,"»Dass das Ticket jetzt ausgelaufen ist, erleichtert mich«","Mobilität"
2022-09-01,"Forscher empfehlen Heizkostenzuschuss statt Gaspreisdeckel","Wirtschaft"
2022-08-31,"Prominente Deutsche fordern Fortsetzung des 9-Euro-Tickets","Wirtschaft"
2022-08-30,"Städte warnen vor Finanznot der Stadtwerke","Wirtschaft"
2022-08-29,"»Immer werden irgendwelche tollen Programme aufgelegt«","Politik"
2022-08-29,"»Massive Einschnitte« bei Schulbussen möglich","Wirtschaft"
2022-08-29,"Die »Letzte Generation« macht sich lächerlich","Politik"
2022-08-29,"9-Euro-Ticket spart fast zwei Millionen Tonnen CO₂ ein","Mobilität"
2022-08-28,"SPD will wegen steigender Energiekosten Hilfspaket schnüren","Politik"
2022-08-28,"»Jeder Fünfte hat die öffentlichen Verkehrsmittel neu für sich entdeckt«","Wirtschaft"
2022-08-28,"Umweltbundesamt spricht sich für Nachfolger des 9-Euro-Tickets aus","Mobilität"
2022-08-27,"Berlin kündigt eigene Nachfolge für 9-Euro-Ticket an","Politik"
2022-08-26,"Kommt jetzt bald das 69-Euro-Ticket?","Politik"
2022-08-26,"Wer kriegt die Kohle fürs Gas?","Politik"
2022-08-26,"Bundesländer machen Druck für neuen Billigfahrschein","Mobilität"
2022-08-26,"Wie der Superbilligtarif den Verkehr verändert hat","Mobilität"
2022-08-26,"Ist das noch schlechter Klimaschutz – oder schon Arbeitsverweigerung?","Wissenschaft"
2022-08-26,"Wie gut kennen Sie Ihre Nachbarn?","Politik"
2022-08-26,"»Am besten wäre ein komplett kostenloses ÖPNV-Angebot auf dem Land«","Mobilität"
2022-08-25,"Nah am Silbersee gebaut","Kultur"
2022-08-25,"FDP-Staatssekretär Theurer nun doch offen für 69-Euro-Fahrschein","Mobilität"
2022-08-24,"Der Dieselkiller von Bremervörde","Mobilität"
2022-08-22,"Rätselraten um eine Autobombe","Politik"
2022-08-22,"»Herr Lindner verkennt die Stimmung im Land«","Politik"
2022-08-22,"Gefälschte FDP-Plakate zum 9-Euro-Ticket – Staatsschutz ermittelt","Politik"
2022-08-19,"Verkehrsstaatssekretär will Tarifdschungel im ÖPNV auflösen","Politik"
2022-08-18,"Preise für Bus und Bahn ziehen an","Wirtschaft"
2022-08-12,"Erneut weniger Staus – vermutlich wegen des 9-Euro-Tickets","Mobilität"
2022-08-12,"Bahn frei!","Politik"
2022-08-11,"Verlängert das 9-Euro-Ticket!","Kultur"
2022-08-10,"Inflation schwächt sich erneut leicht ab","Wirtschaft"
2022-08-09,"Giffey gibt 9-Euro-Ticket Vorzug vor Steuersenkung","Mobilität"
2022-08-08,"Die teure Gratismentalität der Dienstwagen-Gesellschaft","Mobilität"
2022-08-08,"Mehrheit für Verlängerung des 9-Euro-Tickets","Politik"
2022-08-08,"9-Euro-Ticket führt zu mehr Verkehr","Mobilität"
2022-08-07,"Lindner will »keinerlei Mittel« für 9-Euro-Ticket einplanen","Politik"
2022-08-05,"Länder fordern für Anschlusslösung Geld vom Bund","Politik"
2022-08-03,"Plan B für die Maske","Politik"
2022-08-03,"Wie Google Maps unser Leben dominieren will","Wirtschaft"
2022-08-02,"»Das Bahnnetz ist teilweise stark überlastet«","Wirtschaft"
2022-08-01,"Grünenfraktionschefin Dröge will Steuerprivilegien für Dienstwagen kürzen","Wirtschaft"
2022-07-28,"Inflationsrate sinkt im Juli erneut leicht","Wirtschaft"
2022-07-27,"Welche Coronaregeln gelten im Urlaub?","Reise"
2022-07-26,"Haushalte gaben 2020 ein Drittel weniger für Bus, Bahn und Taxi aus","Wirtschaft"
2022-07-24,"Grüne wollen 9-Euro-Ticket statt umweltschädlicher Subventionen","Mobilität"
2022-07-24,"9-Euro-Ticket führt zu Fahrgastverlust bei Fernbussen","Wirtschaft"
2022-07-23,"Lindner lehnt weitere Finanzierung des 9-Euro-Tickets strikt ab","Mobilität"
2022-07-20,"







","Mobilität"
2022-07-20,"9-Euro-Ticket forever – das Geld liegt auf der Straße","Politik"
2022-07-19,"Welche Lehren wir schon jetzt aus dem 9-Euro-Ticket ziehen können","Mobilität"
2022-07-19,"Wissing hält Nachfolger für 9-Euro-Ticket für möglich","Wirtschaft"
2022-07-18,"Das große Feilschen auf dem Energiebasar","Politik"
2022-07-18,"Landkreise sehen 365-Euro-Jahresticket kritisch – Wissing will »Tarifdschungel« beseitigen","Politik"
2022-07-14,"Verkehrsunternehmen schlagen 69-Euro-Fahrschein ab September vor","Wirtschaft"
2022-07-13,"Mit der Seilbahn am Klimaziel vorbei","Mobilität"
2022-07-13,"Wissing will Klimaziele mithilfe von E-Autos, Rädern und ÖPNV erreichen","Wirtschaft"
2022-07-12,"»Lieber eine kalte Dusche im Sommer als eine kalte Wohnung im Winter«","Panorama"
2022-07-10,"Wie es nach dem 9-Euro-Ticket weitergehen könnte","Politik"
2022-07-08,"Briefe","Community"
2022-07-01,"Deutsche wünschen sich bundesweit gültiges 365-Euro-Ticket","Mobilität"
2022-07-01,"Wie schlimm steht es um die Bahn, Herr Verkehrsminister?","Politik"
2022-06-30,"Peinlich statt pünktlich","Politik"
2022-06-30,"Verkehrsbetriebe melden 21 Millionen verkaufte 9-Euro-Tickets in nur einem Monat","Wirtschaft"
2022-06-29,"Grüne Jugend fordert dauerhaftes 9-Euro-Ticket","Politik"
2022-06-28,"Warum es in Norwegen schon heute (fast) ohne neue Verbrenner klappt","Mobilität"
2022-06-27,"Bundesregierung erwägt »Klimaticket« für den Regionalverkehr","Wirtschaft"
2022-06-27,"Finanzminister Lindner gegen Verlängerung von Tankrabatt und 9-Euro-Ticket","Wirtschaft"
2022-06-25,"In Ostwestfalen hat die grüne Seele Ruh'","Politik"
2022-06-24,"Scholz stürzt ab, grüne Minister behaupten sich","Panorama"
2022-06-24,"Wer vom 9-Euro-Ticket profitiert – und wo es floppt","Mobilität"
2022-06-18,"Ring frei – so will Köln ein deutsches Kopenhagen werden","Mobilität"
2022-06-16,"Wer hat denn das verzapft?","Politik"
2022-06-16,"Mehrheit nutzt 9-Euro-Ticket für die Freizeit","Mobilität"
2022-06-15,"Bremer SPD fordert Nachfolge für 9-Euro-Ticket","Politik"
2022-06-13,"»Mit den 2,5 Milliarden Euro hätte man sehr viel machen können«","Politik"
2022-06-13,"Ein Viertel mehr Passagiere nahm den Zug","Wirtschaft"
2022-06-10,"Briefe","Community"
2022-06-09,"Keiner will mehr Trucker sein","Panorama"
2022-06-08,"Dauerhaft günstige Tickets gefordert","Mobilität"
2022-06-07,"Linkenchefin Wissler will erste Klasse der Bahn für alle öffnen","Reise"
2022-06-06,"Warum schlecht informierte Fahrgäste die Bahnen verstopfen","Mobilität"
2022-06-03,"Ticket ins Chaos","Politik"
2022-06-02,"Ticket mit Tücken","Politik"
2022-06-02,"»Die Menschen haben es in ihr Herz geschlossen«","Wirtschaft"
2022-06-02,"Stimmen zur Bahn: »Das ist doch mega!« – »Nichts als Effekthascherei«","Politik"
2022-06-01,"Bahnbeauftragter will nicht mehr »heiße Luft« durch die Gegend fahren lassen","Mobilität"
2022-06-01,"»Ist hier noch frei?« – »Ungern«","Mobilität"
2022-06-01,"»Züge gut gefüllt, aber man findet Platz«","Mobilität"
