"dates","title","ressort"
2022-09-16,"Hertha verspielt Sieg in Mainz in der Nachspielzeit","Sport"
2022-09-16,"Was bleibt vom EM-Hype?","Sport"
2022-09-15,"DFB räumt Fehlentscheidungen von Schiedsrichtern ein – VAR erneut in der Kritik","Sport"
2022-09-15,"Der vergebliche Versuch, müde Beine wachzurütteln","Sport"
2022-09-13,"Matip rettet Liverpool den Sieg, Brügge überrascht in Porto","Sport"
2022-09-13,"Frankfurt jubelt dank Lindström, Bayer trifft spät","Sport"
2022-09-12,"VfL Bochum trennt sich von Trainer Reis","Sport"
2022-09-12,"Beginnt die Putindämmerung?","Politik"
2022-09-11,"Keine Tore gegen Gladbach, Tabellenführung futsch","Sport"
2022-09-10,"Schalke holt ersten Saisonsieg, Bochum bleibt punktlos","Sport"
2022-09-10,"Kruse darf in Wolfsburg nicht mehr mitspielen","Sport"
2022-09-10,"Leipzig gewinnt bei Rose-Debüt gegen Dortmund – Bayern kassiert Ausgleich in der Nachspielzeit","Sport"
2022-09-10,"Düsseldorf springt dank Traumtor auf Rang vier, Paderborn bleibt vorne","Sport"
2022-09-09,"Premier League sagt Spieltag nach Tod von Queen Elizabeth II. ab","Sport"
2022-09-08,"Serientäter am Sehnsuchtsort","Sport"
2022-09-07,"Sané brilliert bei Bayerns Sieg gegen Inter","Sport"
2022-09-07,"Die Überreaktion","Sport"
2022-09-06,"Leipzig erlebt ein Debakel, Haaland bleibt Sevillas Albtraum","Sport"
2022-09-04,"Hertha holt in Augsburg ersten Saisonsieg – Richter trifft erstmals nach Krebserkrankung","Sport"
2022-09-03,"Deutsche Fußballerinnen bezwingen die Türkei – und fahren zur WM 2023","Sport"
2022-09-03,"Paderborn verteidigt Tabellenführung, Fürth ist seit 20 Spielen ohne Sieg","Sport"
2022-09-03,"Chelsea drohte die nächste Pleite – dann kam Havertz ins Spiel","Sport"
2022-09-01,"»Ich bin nicht todkrank«","Sport"
2022-08-30,"Thomas Häßler muss als Trainer pausieren","Sport"
2022-08-28,"Acht-Tore-Spektakel in Kaiserslautern ohne Sieger – Hannover mit drittem Sieg in Folge","Sport"
2022-08-27,"Sommerfest in München","Sport"
2022-08-27,"Bayern trifft bei Sturmlauf das Tor nur einmal","Sport"
2022-08-25,"Bombenalarm – Ligaspiel endet erst nach viereinhalb Stunden","Sport"
2022-08-22,"Trapp freut sich über angebliches United-Interesse, Ex-Kapitän Boyata verlässt Hertha BSC","Sport"
2022-08-22,"Lewandowski trifft schon nach 44 Sekunden","Sport"
2022-08-21,"Eintracht Frankfurt kann einfach nicht mehr gewinnen","Sport"
2022-08-21,"Rostock gewinnt mit Traumtor gegen St. Pauli – Bielefeld auch nach Trainerwechsel weiter sieglos","Sport"
2022-08-21,"Meunier dementiert BVB-Abschiedswunsch – Ronaldo kein Thema in Dortmund","Sport"
2022-08-20,"Unions Konterfußball sorgt für Leipziger Saison-Fehlstart","Sport"
2022-08-19,"Zwei frühe Gegentore und zwei Rote Karten – ein Abend zum Vergessen für den HSV","Sport"
2022-08-18,"Footballer Watson erhält elf Spiele Sperre und muss fünf Millionen Dollar Strafe zahlen","Sport"
2022-08-18,"Wer traf im EM-Finale 2022 für Deutschland?","Sport"
2022-08-16,"BVB verlängert mit Bynoe-Gittens","Sport"
2022-08-15,"Liverpool weiter sieglos – Núñez fliegt nach Kopfstoß vom Platz","Sport"
2022-08-15,"Wie Marcel Sabitzer dem FC Bayern 30 Millionen Euro spart","Sport"
2022-08-14,"Doppel-Rot nach Abpfiff – Tuchel und Conte geraten beim London-Derby aneinander","Sport"
2022-08-14,"Musiala trifft schon wieder – Bayern schlägt Wolfsburg souverän","Sport"
2022-08-14,"Keine Tore gegen Union, aber Mainz bleibt zu Hause unschlagbar","Sport"
2022-08-14,"Eggestein trifft doppelt für St. Pauli, Hannover siegt spät gegen Regensburg","Sport"
2022-08-14,"»Hätte sie alle auswechseln können«","Sport"
2022-08-13,"Der HSV schießt sich auf Platz drei, Bielefeld hängt im Tabellenkeller fest","Sport"
2022-08-11,"Welcher Feldspieler musste am 1. Spieltag ins Tor?","Sport"
2022-08-07,"Haaland trifft doppelt bei Ligadebüt","Sport"
2022-08-07,"Leipzig holt in Stuttgart nur einen Punkt","Sport"
2022-08-06,"Dortmund reicht gegen Leverkusen eine starke Hälfte","Sport"
2022-08-06,"Die Hydra von Köpenick","Sport"
2022-08-06,"Die ersten Punkte sind schon mal weg","Sport"
2022-08-05,"6:1 bei der Eintracht – FC Bayern feiert Fußballfest in Frankfurt","Sport"
2022-08-05,"Klopp vergleicht übervollen Spielplan mit Klimakrise","Sport"
2022-08-04,"Die große SPIEGEL-Saisonprognose","Sport"
2022-08-01,"Ronaldo ist zurück in Manchester – und sorgt für Aufregung","Sport"
2022-07-30,"Leverkusen blamiert sich in Elversberg – auch Köln schon raus","Sport"
2022-07-30,"Überraschend erwachsen","Sport"
2022-07-29,"Dortmunds Gratwanderung","Sport"
2022-07-26,"Der 115-Millionen-Euro-Deal","Sport"
2022-09-16,"Hertha verspielt Sieg in Mainz in der Nachspielzeit","Sport"
2022-09-16,"Was bleibt vom EM-Hype?","Sport"
2022-09-15,"DFB räumt Fehlentscheidungen von Schiedsrichtern ein – VAR erneut in der Kritik","Sport"
2022-09-15,"Der vergebliche Versuch, müde Beine wachzurütteln","Sport"
2022-09-13,"Matip rettet Liverpool den Sieg, Brügge überrascht in Porto","Sport"
2022-09-13,"Frankfurt jubelt dank Lindström, Bayer trifft spät","Sport"
2022-09-12,"VfL Bochum trennt sich von Trainer Reis","Sport"
2022-09-12,"Beginnt die Putindämmerung?","Politik"
2022-09-11,"Keine Tore gegen Gladbach, Tabellenführung futsch","Sport"
2022-09-10,"Schalke holt ersten Saisonsieg, Bochum bleibt punktlos","Sport"
2022-09-10,"Kruse darf in Wolfsburg nicht mehr mitspielen","Sport"
2022-09-10,"Leipzig gewinnt bei Rose-Debüt gegen Dortmund – Bayern kassiert Ausgleich in der Nachspielzeit","Sport"
2022-09-10,"Düsseldorf springt dank Traumtor auf Rang vier, Paderborn bleibt vorne","Sport"
2022-09-09,"Premier League sagt Spieltag nach Tod von Queen Elizabeth II. ab","Sport"
2022-09-08,"Serientäter am Sehnsuchtsort","Sport"
2022-09-07,"Sané brilliert bei Bayerns Sieg gegen Inter","Sport"
2022-09-07,"Die Überreaktion","Sport"
2022-09-06,"Leipzig erlebt ein Debakel, Haaland bleibt Sevillas Albtraum","Sport"
2022-09-04,"Hertha holt in Augsburg ersten Saisonsieg – Richter trifft erstmals nach Krebserkrankung","Sport"
2022-09-03,"Deutsche Fußballerinnen bezwingen die Türkei – und fahren zur WM 2023","Sport"
2022-09-03,"Paderborn verteidigt Tabellenführung, Fürth ist seit 20 Spielen ohne Sieg","Sport"
2022-09-03,"Chelsea drohte die nächste Pleite – dann kam Havertz ins Spiel","Sport"
2022-09-01,"»Ich bin nicht todkrank«","Sport"
2022-08-30,"Thomas Häßler muss als Trainer pausieren","Sport"
2022-08-28,"Acht-Tore-Spektakel in Kaiserslautern ohne Sieger – Hannover mit drittem Sieg in Folge","Sport"
2022-08-27,"Sommerfest in München","Sport"
2022-08-27,"Bayern trifft bei Sturmlauf das Tor nur einmal","Sport"
2022-08-25,"Bombenalarm – Ligaspiel endet erst nach viereinhalb Stunden","Sport"
2022-08-22,"Trapp freut sich über angebliches United-Interesse, Ex-Kapitän Boyata verlässt Hertha BSC","Sport"
2022-08-22,"Lewandowski trifft schon nach 44 Sekunden","Sport"
2022-08-21,"Eintracht Frankfurt kann einfach nicht mehr gewinnen","Sport"
2022-08-21,"Rostock gewinnt mit Traumtor gegen St. Pauli – Bielefeld auch nach Trainerwechsel weiter sieglos","Sport"
2022-08-21,"Meunier dementiert BVB-Abschiedswunsch – Ronaldo kein Thema in Dortmund","Sport"
2022-08-20,"Unions Konterfußball sorgt für Leipziger Saison-Fehlstart","Sport"
2022-08-19,"Zwei frühe Gegentore und zwei Rote Karten – ein Abend zum Vergessen für den HSV","Sport"
2022-08-18,"Footballer Watson erhält elf Spiele Sperre und muss fünf Millionen Dollar Strafe zahlen","Sport"
2022-08-18,"Wer traf im EM-Finale 2022 für Deutschland?","Sport"
2022-08-16,"BVB verlängert mit Bynoe-Gittens","Sport"
2022-08-15,"Liverpool weiter sieglos – Núñez fliegt nach Kopfstoß vom Platz","Sport"
2022-08-15,"Wie Marcel Sabitzer dem FC Bayern 30 Millionen Euro spart","Sport"
2022-08-14,"Doppel-Rot nach Abpfiff – Tuchel und Conte geraten beim London-Derby aneinander","Sport"
2022-08-14,"Musiala trifft schon wieder – Bayern schlägt Wolfsburg souverän","Sport"
2022-08-14,"Keine Tore gegen Union, aber Mainz bleibt zu Hause unschlagbar","Sport"
2022-08-14,"Eggestein trifft doppelt für St. Pauli, Hannover siegt spät gegen Regensburg","Sport"
2022-08-14,"»Hätte sie alle auswechseln können«","Sport"
2022-08-13,"Der HSV schießt sich auf Platz drei, Bielefeld hängt im Tabellenkeller fest","Sport"
2022-08-11,"Welcher Feldspieler musste am 1. Spieltag ins Tor?","Sport"
2022-08-07,"Haaland trifft doppelt bei Ligadebüt","Sport"
2022-08-07,"Leipzig holt in Stuttgart nur einen Punkt","Sport"
2022-08-06,"Dortmund reicht gegen Leverkusen eine starke Hälfte","Sport"
2022-08-06,"Die Hydra von Köpenick","Sport"
2022-08-06,"Die ersten Punkte sind schon mal weg","Sport"
2022-08-05,"6:1 bei der Eintracht – FC Bayern feiert Fußballfest in Frankfurt","Sport"
2022-08-05,"Klopp vergleicht übervollen Spielplan mit Klimakrise","Sport"
2022-08-04,"Die große SPIEGEL-Saisonprognose","Sport"
2022-08-01,"Ronaldo ist zurück in Manchester – und sorgt für Aufregung","Sport"
2022-07-30,"Leverkusen blamiert sich in Elversberg – auch Köln schon raus","Sport"
2022-07-30,"Überraschend erwachsen","Sport"
2022-07-29,"Dortmunds Gratwanderung","Sport"
2022-07-26,"Der 115-Millionen-Euro-Deal","Sport"
2022-07-22,"Arsenal holt Zinchenko von Manchester City – Raum geht wohl nach Leipzig","Sport"
2022-07-19,"Stürmerin Martens verletzt abgereist – nächster Ausfall für die Niederlande","Sport"
2022-07-17,"Schweden schießt sich per Torfestival zum Gruppensieg – auch Titelverteidiger Niederlande weiter","Sport"
2022-07-17,"Der einzige Weltfußballer","Sport"
2022-07-16,"St. Pauli besiegt Nürnberg im Topspiel, Arminia-Trainer Forte muss auf die Tribüne","Sport"
2022-07-11,"Corona-Ersatz Schiechtl glänzt als Torschützin","Sport"
2022-07-09,"Torhüterin verletzt, Innenverteidigerin verletzt, Punkt gewonnen","Sport"
2022-07-06,"Spaniens Schock","Sport"
2022-07-01,"Dem Rekordsieger droht eine Bruchlandung","Sport"
2022-06-29,"Haben Traditionsklubs noch eine Zukunft, Herr Bode?","Sport"
2022-06-17,"Warum dürfen Israelfeinde die Documenta gestalten?","Politik"
2022-06-17,"Ein Klub tankt nach","Sport"
2022-06-17,"Frankfurt und Bayern eröffnen neue Bundesligasaison","Sport"
2022-06-13,"Haaland unterschreibt bei City bis 2027, Chiellini wechselt nach Los Angeles","Sport"
2022-06-12,"Füchse-Routinier Lindberg holt sich die Torjägerkanone – im Alter von 40 Jahren","Sport"
2022-06-12,"Haaland führt Norwegen erneut zum Sieg gegen Schweden","Sport"
2022-06-08,"Lewandowski trifft, dann geht Polen gegen Belgien unter","Sport"
2022-06-08,"Augsburg holt Maaßen als neuen Trainer vom BVB","Sport"
2022-06-06,"Benzema und Mbappé nur auf der Bank – Remis zwischen Frankreich und Kroatien","Sport"
2022-06-04,"Der Mann, der alles hat – außer einem festen Platz","Sport"
2022-06-03,"Traumstart für Rangnick mit Österreich – Frankreich unterliegt Dänemark","Sport"
2022-05-27,"Göttinnen in der Kreisliga","Sport"
2022-05-24,"Werder entschuldigt sich beim Relegationsverlierer HSV","Sport"
2022-05-23,"Guardiolas Tränen, Klopps Tragik","Sport"
2022-05-22,"Milan ist nach elf Jahren wieder italienischer Meister","Sport"
2022-05-22,"3:2 nach 0:2 – Gündoğan schießt ManCity zum Titel","Sport"
2022-05-20,"Crystal-Palace-Trainer Vieira tritt nach Everton-Fan","Sport"
2022-05-20,"Die irre Saison von Werder Bremen","Sport"
2022-05-19,"Erst Feuer in der Halle, dann schlägt das deutsche Team auch Dänemark","Sport"
2022-05-19,"Wie der Magath-Effekt für Hertha zum Problem wurde","Sport"
2022-05-18,"Klopp schont Stammspieler – und hofft auf Reds-Legende Gerrard","Sport"
2022-05-16,"Die Entdeckung des Widerstands","Sport"
2022-05-16,"Schuld und Siege","Sport"
2022-05-15,"Trotz Aufholjagd – Manchester City patzt und macht Meisterschaftskampf spannend","Sport"
2022-05-15,"Wer verpatzt es ausnahmsweise nicht? Nur der HSV!","Sport"
2022-05-15,"Wolfsburg trennt sich von Trainer Kohfeldt","Sport"
2022-05-15,"Bremen steigt auf, HSV geht in die Relegation","Sport"
2022-05-15,"Nur Magath bleibt cool","Sport"
2022-05-14,"Fußball, heilig's Blechle","Sport"
2022-05-14,"Lewandowski trifft, Bayern gewinnt schon wieder nicht","Sport"
2022-05-14,"RB Leipzig spielt Champions League, Union überholt Freiburg","Sport"
2022-05-14,"VfB rettet sich in der Nachspielzeit, Hertha muss in die Relegation","Sport"
2022-05-14,"Rot-Weiss Essen steigt in die 3. Liga auf","Sport"
2022-05-13,"Diese Mittelstürmer machen den Unterschied","Sport"
2022-05-13,"Ist mit Lambrecht der Verteidigungsfail eingetreten?","Politik"
2022-05-13,"Derbyniederlage gegen Tottenham – Arsenal bangt um Champions-League-Rückkehr","Sport"
2022-05-13,"Das ist die SPIEGEL-Elf der Saison","Sport"
2022-05-12,"Schreuder folgt bei Ajax auf ten Hag","Sport"
2022-05-10,"Ohrfeige bringt Coman Sperre für den Saisonstart ein","Sport"
2022-05-08,"Leipzig verdrängt Freiburg von Champions-League-Platz vier","Sport"
2022-05-08,"Stuttgart wahrt mit Punkt gegen Bayern Chance auf direkten Klassenerhalt","Sport"
2022-05-08,"Wolfsburgerinnen gewinnen siebten Titel","Sport"
2022-05-08,"Werder Bremen holt sich Tabellenplatz zwei zurück","Sport"
2022-05-07,"Der FC Schalke ist zurück in der Bundesliga","Sport"
2022-05-07,"Kölner Fans stürmen den Platz – Spieler nicht in Feierlaune","Sport"
2022-05-07,"Schick schießt Leverkusen in die Champions League","Sport"
2022-05-06,"Bielefeld verliert in letzter Minute in Bochum","Sport"
2022-05-03,"Liverpool leidet – und steht im Finale der Champions League","Sport"
2022-05-01,"Keiner siegt wie Don Carlo","Sport"
2022-05-01,"Wer macht hier bloß das Rennen?","Sport"
2022-04-30,"Hertha kommt dem Klassenerhalt näher, Bayern blamieren sich in Mainz","Sport"
2022-04-30,"Liverpool und City siegen weiter im Gleichschritt","Sport"
2022-04-30,"Und plötzlich ist der HSV wieder Dritter","Sport"
2022-04-25,"Leerstand im Wolkenkuckucksheim","Sport"
2022-04-24,"Magaths Hertha gewinnt Schlüsselspiel gegen Stuttgart","Sport"
2022-04-24,"Es wird ein schwieriger Sommer","Sport"
2022-04-23,"St. Pauli verliert das Verfolgerduell gegen Darmstadt und bangt","Sport"
2022-04-23,"»Es hat Phasen gegeben, in denen ich spazieren musste«","Sport"
2022-04-19,"Barcelona verliert auch gegen Außenseiter Cádiz","Sport"
2022-04-17,"Union holt Frankfurts Europapokalhelden zurück auf die Erde","Sport"
2022-04-17,"Schalke schlägt Darmstadt und kommt Bundesliga-Rückkehr näher","Sport"
2022-04-16,"BVB mit Kantersieg gegen Wolfsburg, Hertha zaubert im Abstiegskampf","Sport"
2022-04-16,"St. Pauli patzt – Hannovers Hult fliegt vom Platz, weil die Sonne blendet","Sport"
2022-04-09,"Harmlose Bayern besiegen Augsburg per Elfmeter, Köln dreht 0:2 gegen Mainz","Sport"
2022-04-03,"Torhüter Sommer bewahrt Gladbach mit Weltklasseparaden vor der Pleite","Sport"
2022-04-02,"Hansa Rostock stürzt Spitzenreiter FC St. Pauli","Sport"
2022-04-02,"Leipzig verdirbt die Dortmunder Party","Sport"
2022-04-02,"Mehr als 80.000 Fans sehen Dortmunds 1:4-Pleite gegen Leipzig","Sport"
2022-04-02,"Bayern spielen kurzzeitig mit zwölf Mann, Bochums Keeper gibt zwei Vorlagen","Sport"
2022-04-02,"Das Murmeltier grüßt den Hamburger SV","Sport"
2022-03-29,"Frauen in Iran wird Zutritt zu Fußball-Länderspiel verweigert","Sport"
2022-03-28,"Kanada qualifiziert sich für die Fußball-WM – zum ersten Mal seit 36 Jahren","Sport"
2022-03-24,"Fenerbahçe suspendiert Özil","Sport"
