"dates","title"
2022-09-16,"Bundesrat macht Weg für Corona-Regeln im Herbst frei"
2022-09-16,"Wo Masken schützen – und wo sie nicht so wichtig sind"
2022-09-16,"Franziska Giffey kündigt 29-Euro-Ticket an"
2022-09-16,"Städtetag fürchtet rechtlichen ""Flickenteppich"" im Corona-Winter"
2022-09-15,"Zwei Drittel sprechen sich für 365-Euro-Ticket aus"
2022-09-15,"Verkehrsverbund stimmt für 29-Euro-Ticket in Berlin"
2022-09-15,"Brandenburg gibt Blockade von Berliner 29-Euro-Ticket offenbar auf"
2022-09-15,"»Stoppt die Bildungspläne!«, fordern Schüler- und Elternvertretungen"
2022-09-11,"""Wir rechnen mit bis zu 20.000 Euro für die Hochzeit"""
2022-09-10,"Was wäre die Welt nur ohne Pizza!"
2022-09-16,"War alles anders? "
2022-09-08,"Bundestag beschließt neues Infektionsschutzgesetz"
2022-09-07,"Entlastung ""in progress"""
2022-09-07,"Fliegen mit Risiko"
2022-09-06,"Im Herbst sind für Innenräume wieder Obergrenzen möglich"
2022-09-05,"Bund-Länder-Gipfel soll Kosten neuer Entlastungen klären"
2022-09-05,"Länder fordern Mitsprache bei Entlastungen"
2022-09-05,"Kommunen fordern Zusage der Länder für neues ÖPNV-Ticket"
2022-09-04,"Örtliche Betäubung"
2022-09-04,"Mit 65 Milliarden gegen die Krise"
2022-09-04,"Ampel-Koalition einigt sich auf drittes Entlastungspaket"
2022-09-04,"Scholz will am Sonntagvormittag Ergebnisse bekannt geben"
2022-09-03,"Günstiger als mit dem 9-Euro-Ticket"
2022-09-01,"9-Euro-Ticket, selbst gemacht"
2022-08-31,"Wissing sichert Nachfolge für 9-Euro-Ticket zu"
2022-08-31,"Berlin hat einen ambitionierten Plan"
2022-08-30,"Auf der Suche nach dem guten Geist von Meseberg"
2022-08-29,"Warum ist Strom plötzlich so teuer?"
2022-08-29,"Verkehrsverbände verkauften rund 52 Millionen 9-Euro-Tickets"
2022-08-27,"Wenn der Bus nicht kommt, gibt es ein Eis"
2022-08-26,"Verkehrsminister fordern Milliardenhilfen des Bundes für Nahverkehr"
2022-08-26,"Städte und Gemeinden fordern rasche Nachfolge für 9-Euro-Ticket"
2022-08-26,"Putin vergrößert Armee, 9-Euro-Ticket, Marsrakete Starship"
2022-08-25,"Mit links zur Übergewinnsteuer"
2022-08-25,"SPD-Verkehrspolitiker für ""40-bis-70-Euro-Ticket"""
2022-08-25,"Kontonummer, bitte"
2022-08-24,"Verkehrsminister treffen sich zu Sonderkonferenz"
2022-08-24,"Kabinett beschließt Eckpunkte für Corona-Regeln im Herbst"
2022-08-22,"""Das 9-Euro-Ticket war eine der besten Ideen, die wir hatten"""
2022-08-22,"Campino kann auch Kreislauf"
2022-08-21,"Lindner beklagt bei Dienstwagenprivileg ""linkes Framing"""
2022-08-21,"Sitzen Sie eigentlich immer allein im Auto? "
2022-08-21,"Verbraucherzentralen dringen auf Anschluss für 9-Euro-Ticket"
2022-08-15,"Gasumlage könnte Inflation deutlich erhöhen"
2022-08-14,"""Wir ziehen demnächst in unsere eigene 130-Quadratmeter-Wohnung"""
2022-08-11,"Ein Ausflugsticket, und doch ein Erfolg"
2022-08-11,"""Es muss laufen"" "
2022-08-10,"""Ich beteilige mich nicht an Kassandrarufen"""
2022-08-08,"Deutsche nutzen trotz 9-Euro-Ticket oft das Auto"
2022-08-07,"Christian Lindner will Fortsetzung von 9-Euro-Ticket nicht finanzieren"
2022-08-06,"Regierung streitet über Entlastungen"
2022-08-05,"Grüne schlagen zwei Nachfolger für 9-Euro-Ticket vor"
2022-08-05,"Im Juli erneut weniger als 60 Prozent der Fernzüge pünktlich"
2022-08-05,"9-Euro-Ticket sorgt für deutlich mehr Fahrgäste im Nahverkehr"
2022-08-03,"Was ist in Hamburgs Fahrschulen los?"
2022-08-02,"Betongold auf Sylt"
2022-07-31,"Allgäu für alle!"
2022-07-30,"""Warum führen wir nicht einen ÖPNV-Beitrag ein?"""
2022-07-28,"Eisenbahngewerkschaft gegen Fortführung des 9-Euro-Tickets"
2022-07-28,"Was bringt das 9-Euro-Ticket?"
2022-07-27,"Nein, Bayern bereitet keine Überwachung chinesischer Art vor"
2022-07-26,"""Die Politik versteckt sich hinter den Tafeln"""
2022-07-26,"Das große Energieabkommen, das Europa jetzt braucht"
2022-07-25,"""Die Bevölkerung ist oft weiter als die Politik"""
2022-07-25,"Was soll nach dem 9-Euro-Ticket kommen?"
2022-07-24,"Busunternehmen melden massiven Fahrgastverlust durch 9-Euro-Ticket"
2022-07-23,"Widerspruch gegen Fortsetzung des 9-Euro-Tickets"
2022-07-22,"Verkehrsbetriebe wollen 9-Euro-Ticket um zwei Monate verlängern"
2022-07-20,"Volker Wissing sieht Nachfolge für 9-Euro-Ticket als Ländersache"
2022-07-20,"Bitte nicht so billig!"
2022-07-19,"Christian Lindner will Pendlerpauschale erhöhen"
2022-07-19,"Der Absturz eines Bankers: Wie Chef der Warburg-Bank alles verspielte"
2022-07-19,"Nachfolgeangebot für 9-Euro-Ticket könnte Ende 2022 kommen"
2022-07-18,"Volker Wissing offen für Nachfolgereglung für 9-Euro-Ticket"
2022-07-17,"Das Angebot muss besser werden, nicht der Preis"
2022-07-17,"Markus Söder fordert 365-Euro-Jahresticket"
2022-07-17,"""Wenn ich sterbe, bekommt mein Mann 200.000 Euro"""
2022-07-16,"Joe Biden lässt nichts unversucht"
2022-07-15,"Verkehrsministerium reagiert verhalten auf Vorstoß zu 69-Euro-Ticket"
2022-07-15,"Realistisch und doch revolutionär"
2022-07-14,"Verband fordert ab 1. September 69-Euro-Ticket "
2022-07-13,"Inflation im Juni lag mit 7,6 Prozent etwas niedriger"
2022-07-09,"""Bis vor Kurzem waren Architekten und Stadtplaner nur Männer"""
2022-07-05,"Nase zu und durch"
2022-07-04,"So funktioniert das 9-Euro-Ticket"
2022-07-02,"Lauterbach kritisiert Ende der FFP2-Maskenpflicht in Bayern"
2022-07-01,"Sind wir denn jetzt schlauer?"
2022-07-01,"Paris? Kann doch jeder!"
2022-06-30,"21 Millionen Menschen kaufen im Juni 9-Euro-Ticket"
2022-06-29,"Inflation in Deutschland im Juni überraschend leicht gesunken"
2022-06-27,"Christian Lindner gegen Fortsetzung des 9-Euro-Tickets"
2022-06-22,"Verbraucherzentralen fordern Nahverkehrsticket für 29 Euro"
2022-06-21,"Die neue Lust am Bahnfahren"
