"dates[-1]","title[-1][1:length(dates[-1])]"
2022-09-15,"Verkehrsverbund stimmt für 29-Euro-Ticket in Berlin"
2022-09-07,"Entlastung ""in progress"""
2022-09-07,"Fast jedes zweite Unternehmen will Preise anheben"
2022-09-06,"Im Herbst sind für Innenräume wieder Obergrenzen möglich"
2022-09-05,"Tausende protestieren in Leipzig gegen Energiepreise"
2022-09-05,"Länder fordern Mitsprache bei Entlastungen"
2022-09-05,"Kommunen fordern Zusage der Länder für neues ÖPNV-Ticket"
2022-09-04,"""Teils mit der Gießkanne unterwegs"""
2022-09-04,"Mit 65 Milliarden gegen die Krise"
2022-09-03,"Wissing will Nachfolge des 9-Euro-Tickets spätestens ab Anfang 2023"
2022-09-03,"Günstiger als mit dem 9-Euro-Ticket"
2022-09-01,"9-Euro-Ticket, selbst gemacht"
2022-09-01,"Es läuft nicht gut für den Vizekanzler"
2022-08-31,"Wer reinkommt, der will von da an nur noch raus"
2022-08-31,"Wissing sichert Nachfolge für 9-Euro-Ticket zu"
2022-08-31,"Berlin hat einen ambitionierten Plan"
2022-08-30,"Städte bereiten sich auf Gasmangel vor"
2022-08-30,"FDP fordert Finanzzusagen der Länder für 9-Euro-Ticket-Nachfolge"
2022-08-30,"Robert Habeck räumt Fehler bei Konzeption der Gasumlage ein "
2022-08-29,"Verkehrsverbände verkauften rund 52 Millionen 9-Euro-Tickets"
2022-08-29,"Macron hat die Pandemie für beendet erklärt"
2022-08-28,"Umweltbundesamt fordert Nachfolge des 9-Euro-Tickets"
2022-08-27,"Städte und Gemeinden fordern Direktzahlungen an Geringverdiener"
2022-08-26,"""Das ist letztendlich Verarsche"""
2022-08-26,"Verkehrsminister fordern Milliardenhilfen des Bundes für Nahverkehr"
2022-08-26,"Städte und Gemeinden fordern rasche Nachfolge für 9-Euro-Ticket"
2022-08-25,"Mit links zur Übergewinnsteuer"
2022-08-25,"SPD-Verkehrspolitiker für ""40-bis-70-Euro-Ticket"""
2022-08-24,"Verkehrsminister treffen sich zu Sonderkonferenz"
2022-08-24,"Was wirklich helfen könnte"
2022-08-21,"Lindner beklagt bei Dienstwagenprivileg ""linkes Framing"""
2022-08-21,"Sitzen Sie eigentlich immer allein im Auto? "
2022-08-21,"Verbraucherzentralen dringen auf Anschluss für 9-Euro-Ticket"
