"dates","title"
2022-09-16,"Remis zwischen Mainz und Hertha"
2022-09-16,"Vielleicht mal ohne Schiedsrichter"
2022-09-15,"Niederlage für Union in Portugal – SC Freiburg gewinnt souverän"
2022-09-16,"Jetzt pfeift doch mal!"
2022-09-15,"Nicht Bayern. Nicht Dortmund. Nicht Leipzig. Union!"
2022-09-14,"Haaland schießt ManCity gegen BVB zum Sieg, Leipzig unterliegt Real"
2022-09-13,"Bayern gewinnt zu Hause gegen Barcelona, Frankfurt in Marseille"
2022-09-13,"Im Zweifel für den Schiedsrichter"
2022-09-12,"Der Jubel ist der Mittelfinger des Fußballers"
2022-09-11,"Freiburg und Mönchengladbach trennen sich unentschieden"
2022-09-10,"Etwas, das wichtiger ist als Geld"
2022-09-09,"Fußball, was denn los?"
2022-09-07,"FC Chelsea entlässt Trainer Thomas Tuchel"
2022-09-07,"RB Leipzig trennt sich von Trainer Tedesco"
2022-09-06,"BVB gewinnt – RB Leipzig verpatzt Start in die Champions League"
2022-09-05,"Ein romantisches Wochenende in der Bundesliga"
2022-09-04,"Gladbach verliert gegen Mainz"
2022-09-04,"Die glanzlose Seite des Sportgeschäfts"
2022-09-02,"Der neue Vorzeigeverein"
2022-08-29,"Mal wieder richtig Sommer"
2022-08-28,"Eintracht Frankfurt besiegt Bremen"
2022-08-27,"Wenn ich nichts mache, wird mein Sohn Bayern-Fan"
2022-08-26,"Köln trifft auf Nizza, Belgrad und Slovácko"
2022-08-26,"Es ist Spitzenspiel, ja wirklich!"
2022-08-23,"Fußball als Ablenkung"
2022-08-22,"Manchester United gewinnt gegen Liverpool"
2022-08-22,"Die größte Lachnummer im Weltfußball"
2022-08-22,"Hurra, Werder ist wieder da!"
2022-08-21,"Bayern München feiert besten Saisonstart aller Zeiten"
2022-08-19,"Guter Osten gegen böser Osten"
2022-08-15,"Ein erster Bayern-Boykott"
2022-08-13,"Gute Zeiten, sehr gute Zeiten"
2022-08-13,"Bayern gewinnt mit 2:0 gegen Wolfsburg"
2022-08-12,"Auf diese Dose ist Pfand drauf"
2022-08-08,"Sind Fußballfans wirklich so gefährlich?"
2022-08-07,"FC Köln gewinnt gegen Schalke 04"
2022-08-06,"Meisterrennen fällt aus "
2022-08-05,"Bundesligisten gehen ungern fremd"
2022-07-11,"Dynamo Dresden muss 300.000 Euro Strafe zahlen"
2022-07-08,"""Wir müssen nicht genauso viel verdienen wie die Männer"""
2022-07-07,"Das richtige Spiel für Mädchen"
2022-07-05,"Diese Frauen wollen Europameisterinnen werden"
2022-06-30,"Das Match des Jahrhunderts"
2022-06-17,"Bayern München und Eintracht Frankfurt eröffnen 60. Saison"
2022-06-14,"Deutschland gewinnt gegen Italien mit 5:2"
2022-06-12,"Deutschland spielt unentschieden gegen Ungarn"
2022-06-08,"Deutschland verpasst Sieg gegen England"
2022-06-07,"""Ohne Helm gehe ich nicht mehr auf den Rasen"""
2022-06-06,"Frank Kramer soll neuer Trainer des FC Schalke 04 werden"
2022-06-05,"Explosionen in Kiew, Zugunglück in Garmisch, Greenwashing  "
2022-06-04,"Deutschland und Italien trennen sich unentschieden"
2022-06-02,"SC Magdeburg ist deutscher Handballmeister"
2022-05-31,"Glückwunsch an mich selbst"
2022-05-24,"Fünf europäische Meister, die Sie kennen sollten"
2022-05-23,"Jetzt live: alle Begegnungen des Spieltags"
2022-05-23,"Der einmalige Guardiola"
2022-05-22,"Manchester City ist erneut englischer Fußballmeister"
2022-05-22,"RB Leipzig gewinnt DFB-Pokal nach Elfmeterschießen"
2022-05-17,"Hoffenheim trennt sich von Cheftrainer Sebastian Hoeneß"
2022-05-16,"Schwaben im Räuschle"
2022-05-14,"VfB Stuttgart bleibt erstklassig, Hertha muss in die Relegation"
2022-05-18,"Endlich wieder Fußball hören"
2022-05-13,"Es begann mit einem gefälschten Impfpass"
