Kategorie: Alle Kategorien

Monat,atomkraft: (Deutschland)
2004-01,3
2004-02,3
2004-03,2
2004-04,6
2004-05,2
2004-06,5
2004-07,0
2004-08,0
2004-09,2
2004-10,4
2004-11,0
2004-12,3
2005-01,3
2005-02,1
2005-03,0
2005-04,1
2005-05,7
2005-06,4
2005-07,3
2005-08,2
2005-09,2
2005-10,3
2005-11,3
2005-12,2
2006-01,5
2006-02,5
2006-03,4
2006-04,6
2006-05,6
2006-06,4
2006-07,3
2006-08,3
2006-09,3
2006-10,2
2006-11,4
2006-12,3
2007-01,3
2007-02,2
2007-03,4
2007-04,3
2007-05,4
2007-06,4
2007-07,4
2007-08,2
2007-09,2
2007-10,2
2007-11,4
2007-12,3
2008-01,4
2008-02,2
2008-03,2
2008-04,3
2008-05,3
2008-06,4
2008-07,6
2008-08,3
2008-09,3
2008-10,2
2008-11,5
2008-12,3
2009-01,2
2009-02,4
2009-03,3
2009-04,3
2009-05,4
2009-06,3
2009-07,4
2009-08,3
2009-09,9
2009-10,5
2009-11,4
2009-12,3
2010-01,4
2010-02,4
2010-03,4
2010-04,9
2010-05,5
2010-06,3
2010-07,3
2010-08,5
2010-09,14
2010-10,8
2010-11,13
2010-12,5
2011-01,7
2011-02,6
2011-03,100
2011-04,41
2011-05,31
2011-06,20
2011-07,9
2011-08,5
2011-09,8
2011-10,8
2011-11,8
2011-12,6
2012-01,7
2012-02,7
2012-03,8
2012-04,6
2012-05,10
2012-06,8
2012-07,4
2012-08,3
2012-09,4
2012-10,4
2012-11,4
2012-12,3
2013-01,4
2013-02,4
2013-03,4
2013-04,5
2013-05,4
2013-06,4
2013-07,3
2013-08,3
2013-09,3
2013-10,3
2013-11,3
2013-12,3
2014-01,4
2014-02,4
2014-03,4
2014-04,3
2014-05,4
2014-06,4
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,3
2015-01,3
2015-02,3
2015-03,4
2015-04,3
2015-05,2
2015-06,3
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,2
2016-01,3
2016-02,2
2016-03,3
2016-04,5
2016-05,4
2016-06,3
2016-07,2
2016-08,1
2016-09,2
2016-10,2
2016-11,2
2016-12,2
2017-01,2
2017-02,3
2017-03,2
2017-04,2
2017-05,2
2017-06,3
2017-07,2
2017-08,1
2017-09,2
2017-10,2
2017-11,2
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,1
2018-08,1
2018-09,2
2018-10,2
2018-11,2
2018-12,2
2019-01,2
2019-02,2
2019-03,4
2019-04,3
2019-05,3
2019-06,4
2019-07,2
2019-08,2
2019-09,3
2019-10,2
2019-11,2
2019-12,3
2020-01,4
2020-02,2
2020-03,2
2020-04,2
2020-05,2
2020-06,1
2020-07,2
2020-08,1
2020-09,2
2020-10,2
2020-11,2
2020-12,2
2021-01,2
2021-02,3
2021-03,3
2021-04,3
2021-05,2
2021-06,2
2021-07,2
2021-08,2
2021-09,4
2021-10,4
2021-11,4
2021-12,4
2022-01,9
2022-02,9
2022-03,6
2022-04,3
2022-05,3
2022-06,5
2022-07,7
2022-08,6
2022-09,8
