Kategorie: Alle Kategorien

Monat,"""Kernenergie"": (Deutschland)"
2004-01,52
2004-02,59
2004-03,41
2004-04,41
2004-05,48
2004-06,54
2004-07,9
2004-08,11
2004-09,29
2004-10,0
2004-11,44
2004-12,26
2005-01,31
2005-02,50
2005-03,53
2005-04,49
2005-05,46
2005-06,50
2005-07,10
2005-08,31
2005-09,11
2005-10,16
2005-11,31
2005-12,33
2006-01,43
2006-02,28
2006-03,42
2006-04,41
2006-05,47
2006-06,20
2006-07,15
2006-08,11
2006-09,12
2006-10,15
2006-11,29
2006-12,23
2007-01,26
2007-02,40
2007-03,37
2007-04,31
2007-05,30
2007-06,19
2007-07,18
2007-08,13
2007-09,16
2007-10,23
2007-11,25
2007-12,18
2008-01,27
2008-02,30
2008-03,19
2008-04,33
2008-05,23
2008-06,23
2008-07,20
2008-08,14
2008-09,13
2008-10,18
2008-11,25
2008-12,17
2009-01,20
2009-02,22
2009-03,27
2009-04,14
2009-05,25
2009-06,27
2009-07,10
2009-08,12
2009-09,19
2009-10,12
2009-11,16
2009-12,12
2010-01,12
2010-02,22
2010-03,18
2010-04,15
2010-05,21
2010-06,14
2010-07,7
2010-08,9
2010-09,19
2010-10,14
2010-11,30
2010-12,12
2011-01,19
2011-02,20
2011-03,100
2011-04,47
2011-05,38
2011-06,22
2011-07,14
2011-08,11
2011-09,13
2011-10,10
2011-11,19
2011-12,10
2012-01,16
2012-02,15
2012-03,20
2012-04,11
2012-05,14
2012-06,16
2012-07,6
2012-08,5
2012-09,7
2012-10,8
2012-11,14
2012-12,10
2013-01,12
2013-02,10
2013-03,9
2013-04,14
2013-05,14
2013-06,10
2013-07,8
2013-08,7
2013-09,7
2013-10,9
2013-11,10
2013-12,8
2014-01,13
2014-02,14
2014-03,12
2014-04,12
2014-05,15
2014-06,11
2014-07,5
2014-08,4
2014-09,9
2014-10,11
2014-11,13
2014-12,10
2015-01,14
2015-02,9
2015-03,14
2015-04,10
2015-05,14
2015-06,12
2015-07,6
2015-08,6
2015-09,9
2015-10,7
2015-11,8
2015-12,12
2016-01,8
2016-02,11
2016-03,11
2016-04,12
2016-05,16
2016-06,8
2016-07,7
2016-08,6
2016-09,8
2016-10,7
2016-11,10
2016-12,7
2017-01,8
2017-02,8
2017-03,8
2017-04,7
2017-05,10
2017-06,9
2017-07,6
2017-08,5
2017-09,7
2017-10,7
2017-11,11
2017-12,6
2018-01,9
2018-02,9
2018-03,5
2018-04,10
2018-05,6
2018-06,8
2018-07,5
2018-08,6
2018-09,8
2018-10,9
2018-11,12
2018-12,10
2019-01,11
2019-02,10
2019-03,15
2019-04,11
2019-05,10
2019-06,10
2019-07,12
2019-08,9
2019-09,12
2019-10,10
2019-11,17
2019-12,13
2020-01,12
2020-02,12
2020-03,11
2020-04,13
2020-05,13
2020-06,10
2020-07,9
2020-08,8
2020-09,13
2020-10,12
2020-11,18
2020-12,18
2021-01,17
2021-02,18
2021-03,19
2021-04,15
2021-05,16
2021-06,11
2021-07,10
2021-08,10
2021-09,14
2021-10,15
2021-11,24
2021-12,22
2022-01,20
2022-02,23
2022-03,17
2022-04,14
2022-05,14
2022-06,14
2022-07,13
2022-08,11
2022-09,14
