Kategorie: Alle Kategorien

Monat,"""ÖPNV"": (Deutschland)"
2004-01,31
2004-02,34
2004-03,33
2004-04,26
2004-05,26
2004-06,38
2004-07,46
2004-08,34
2004-09,30
2004-10,26
2004-11,32
2004-12,23
2005-01,35
2005-02,33
2005-03,33
2005-04,29
2005-05,38
2005-06,43
2005-07,41
2005-08,44
2005-09,49
2005-10,38
2005-11,40
2005-12,34
2006-01,32
2006-02,26
2006-03,35
2006-04,29
2006-05,36
2006-06,35
2006-07,40
2006-08,31
2006-09,37
2006-10,36
2006-11,22
2006-12,24
2007-01,30
2007-02,31
2007-03,34
2007-04,37
2007-05,34
2007-06,33
2007-07,29
2007-08,36
2007-09,35
2007-10,31
2007-11,27
2007-12,30
2008-01,29
2008-02,36
2008-03,33
2008-04,31
2008-05,37
2008-06,29
2008-07,33
2008-08,37
2008-09,31
2008-10,32
2008-11,29
2008-12,26
2009-01,26
2009-02,32
2009-03,30
2009-04,27
2009-05,28
2009-06,26
2009-07,25
2009-08,33
2009-09,28
2009-10,28
2009-11,24
2009-12,26
2010-01,30
2010-02,32
2010-03,32
2010-04,28
2010-05,29
2010-06,30
2010-07,29
2010-08,33
2010-09,36
2010-10,31
2010-11,32
2010-12,29
2011-01,28
2011-02,29
2011-03,32
2011-04,30
2011-05,37
2011-06,34
2011-07,33
2011-08,36
2011-09,36
2011-10,37
2011-11,31
2011-12,29
2012-01,28
2012-02,31
2012-03,38
2012-04,33
2012-05,32
2012-06,31
2012-07,33
2012-08,34
2012-09,34
2012-10,32
2012-11,28
2012-12,25
2013-01,30
2013-02,29
2013-03,30
2013-04,30
2013-05,30
2013-06,32
2013-07,30
2013-08,33
2013-09,35
2013-10,31
2013-11,27
2013-12,25
2014-01,26
2014-02,27
2014-03,39
2014-04,29
2014-05,33
2014-06,32
2014-07,30
2014-08,33
2014-09,35
2014-10,31
2014-11,30
2014-12,22
2015-01,24
2015-02,30
2015-03,31
2015-04,30
2015-05,35
2015-06,31
2015-07,31
2015-08,33
2015-09,35
2015-10,33
2015-11,29
2015-12,28
2016-01,25
2016-02,28
2016-03,31
2016-04,30
2016-05,29
2016-06,29
2016-07,31
2016-08,30
2016-09,33
2016-10,32
2016-11,29
2016-12,27
2017-01,29
2017-02,30
2017-03,33
2017-04,29
2017-05,31
2017-06,33
2017-07,30
2017-08,32
2017-09,38
2017-10,32
2017-11,30
2017-12,28
2018-01,28
2018-02,37
2018-03,40
2018-04,36
2018-05,34
2018-06,33
2018-07,37
2018-08,38
2018-09,38
2018-10,39
2018-11,37
2018-12,30
2019-01,30
2019-02,34
2019-03,31
2019-04,37
2019-05,39
2019-06,40
2019-07,42
2019-08,41
2019-09,46
2019-10,46
2019-11,40
2019-12,37
2020-01,38
2020-02,38
2020-03,32
2020-04,48
2020-05,25
2020-06,30
2020-07,28
2020-08,33
2020-09,56
2020-10,54
2020-11,20
2020-12,15
2021-01,37
2021-02,26
2021-03,19
2021-04,26
2021-05,25
2021-06,31
2021-07,30
2021-08,39
2021-09,54
2021-10,37
2021-11,60
2021-12,34
2022-01,34
2022-02,32
2022-03,100
2022-04,82
2022-05,85
2022-06,81
2022-07,65
2022-08,68
2022-09,68
